tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,review_quality_rating,review_difficulty_rating,review_class,Review_1,Review_2,Review_3
Hotel & Restaurant Management,298,Cornell University,Aaron,,Adalja,2350519,13,good,TEACHER,PROFESSOR,3.6,5.0,5.0,,"Pretty good professor, very chill and down to earth. His slides tend to have a lot of information and the test questions tend to be very specific, so taking good notes and studying throughout the class will help you a lot.",Professor Adalja was my most caring and friendly professor this semester. He grades very fairly and is always approachable. His TA's are very helpful and he frequently holds office hours. There are many grades in the class but as long as you stay ahead and pay attention you will do fine. I liked that he lets you see what you missed on exams too.,"Great Professor. I think a lot of the reviews here was when he was new to teaching, and the course was fluid. Now that he has experience teaching, the course is awesome. Learned a lot and actually enjoyed showing up to class, even though I am not interested in F&B as a career. Lectures were interesting and lively, and the coursework/exams were easy"
Physical Education,298,Cornell University,Bert,,Adams-Kucik,2729553,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Finance,298,Cornell University,Jawad,,Addoum,2533441,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"Professor Addoum is one of my favorite professors in Dyson. His class (corporate finance) is, by far, one of the most useful courses I have taken. His lectures are captivating and well structured. He is reasonable and never asks you to do impossible tasks.",,
Literature,298,Cornell University,Leslie,,Adelson,1137104,3,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"I had professor Adelson for my writing seminar. She was a wonderful professor, very encouraging to all her students, both in her speech and in her essay comments. She guarantees a B in this FWS as long as you do all your work, she only gives A's to those she deems have done ""superior work"". Overall, interesting topic, seminar can be dry at times","Fortunate enough to have taken two separate courses (3210 + senior seminar) with her. Engaging presentation of material. Possesses an amazing ability to draw even the most timid students into class discussions by relating their comments to the discussion, thus encouraging participation--I sometimes enjoyed just sitting back and watching her teach!","Prof. Adelson is always super prepared, poised and incredibly receptive to student comments. She is totally brilliant but makes you feel like it was you who was coming up with all the great ideas. I learned a ton!"
African Studies,298,Cornell University,Adeolu,,Ademoyo,1515016,5,good,TEACHER,PROFESSOR,4.1,5.0,5.0,,"Compared to other language courses, this is definitely one of the best options. He is EXTREMELY disorganized which makes the course much more stressful, but he ultimately gives everyone a good grade (A- or above), unless you are really bad then maybe he'll give you a B+. Much less work than other language classes. He acts a lot and is fun also!","He's a good professor, his grading is haphazard though and there's more emphasis on speaking the language than actual tests",I really enjoyed this class! ADEMOYO IS A GREAT PROFESSOR! He aims to have his students learn the material but does not overwhelm them. The class is totally manageable and the professor is extremely helpful. Best language class I've EVER taken :)
Law,298,Cornell University,Lee,,Adler,533286,10,good,TEACHER,PROFESSOR,4.3,4.0,4.0,,"Great professor and interesting topic, but class is unorganized. Readings and assignments are sent in long/confusing email chains. Otherwise, Prof is very knowledgeable and shares many personal stories about the topic of the day. Lots of reading, but no need to do it all. Participation/attendance and a final paper are all that grades are based on.",Prof. Adler is one of the best professors in all of ILR. He has amazing experiences to tell and truly cares about his students and the material he teaches. He may go off-topic a fair amount but only because of his enormous breadth of knowledge in literally every topic imaginable.,"Professor Adler really cares about his students and caters his lectures to the class. Most of the work is reading court cases and then discussing them in class. His papers are tough, but you will learn a lot in his class."
Asian Studies,298,Cornell University,Nick,,Admussen,2018702,7,good,TEACHER,PROFESSOR,4.7,5.0,5.0,,"Prof. Admussen is one of the kindest and generous professor's I've ever met at Cornell. He makes his lectures personal enough to intrigue the class, but doesn't make the class about him and talks about Chinese history in the context of the present day and the world. Content is extremely clear and absolutely interesting!",I've taken 3 of his classes and always love him! He knows what he is talking about and cares about how you are doing. He's accessible and takes his students' work seriously. Readings can be a lot sometimes but you can manage to get away. He's also very hilarious. Recommend to anyone interested in China.,His office hours are very helpful. Hands down one of the best professors at Cornell.
Engineering,298,Cornell University,Ehsan,,Afshari,972858,6,good,TEACHER,PROFESSOR,3.8,5.0,5.0,,"Ehsan seems really smart, but he is the worst kind of professor to have. He isn't helpful outside of class, and assigns labs and homeworks that take upwards of 10 hours to complete, every week. He is great in lecture, but makes the class unbearable. ","This guy is smart, but teaches stuff wayyyy too fast, and gives homework way harder than anything we've done in class. If you have the time to read the book for hours on end outside of class, then this guy is great, but with the assumption we all have other things to do, this class was way too difficult.",He taught the course really well
Human Ecology,298,Cornell University,Jennifer,,Agans,2349331,8,poor,TEACHER,PROFESSOR,1.2,,,,"She made it really hard to enjoy the class, since she either moved through the material too quickly, or brought in guest lecturers who didn't know what they were doing either. That being said, this class is not difficult if you do the readings in the textbook and look through and memorize notes before exams.","wow. just. wow. she managed to make the final exam nearly impossible to study for, and put the most random questions on the test. truly, no words to describe how disappointed I am with this class.","Absolutely wack. Is VERY rude to students when they ask questions, ask her to slow down, or question her data. Treats students like children (i.e. clapping to get attention) and somehow manages to make a relevant topic very boring. She also makes it difficult to study; lecture slides are not posted, class moves quickly, little guidance."
Computer Science,298,Cornell University,Rachit,,Agarwal,2209130,22,average,TEACHER,PROFESSOR,3.1,5.0,5.0,,"Really nice guy and definitely will make time and exert the effort to help you. But... in lecture, he came across kind of snarky. Curses a lot. But simultaneously demands a lot of respect. Explains things relatively well. Almost all homeworks are required to be done in groups (of 3+, I think?). Which is actually nice, in a way. ",Loved him while taking OS. Really cared about students' learning and their experience.,"I took this class and dropped it half way. The material is interesting but he's a nightmare to deal with. Every problem in the class was always someone else's fault, never his. Seems pretty full of himself. Won't be taking a class he teaches again."
Languages,298,Cornell University,Muna,,Aghawani,996579,3,good,TEACHER,PROFESSOR,4.8,5.0,5.0,,Muna Aghawani is an awesome teacher with a beautiful soul.,very cool and cute,"She is so nice and helpful, made me interested in the Middle East, class was fun"
Biology,298,Cornell University,Anurag,,Agrawal,1192249,10,good,TEACHER,PROFESSOR,4.8,5.0,5.0,,"This class was easy to do well in, but hard to get an A if that's what you're shooting for. The prelims are a bit knit-picky and the online textbook can be a bit boring but I would otherwise totally recommend this Intro. to Bio course for non-majors. The lectures were the most dynamic ones I've seen considering the size of the class.","I liked this class a lot, and Professor Agrawal was such a great professor! While it isn't too hard to catch up if you skip, there are in-class ""Poll Everywhere"" questions for attendance.","Super great lecturer, and very chill class. Not too difficult and would recommend"
Languages,298,Cornell University,David,,Agruss,813551,4,poor,TEACHER,PROFESSOR,1.0,,,,"Prof Agrus is hands down the worst teacher I've ever had. I was a senior taking a lower level class and he tried to make the class as difficult as possible. He believes he is above everybody he doesn't even teach his own class he leaves that up to is students.He is so vague on what he wants, but then grades students as if they should read his mind",I leave class frustrated every day,No Comments
Mathematics,298,Cornell University,Marcelo ,,Aguiar,1987323,7,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,He is amazing!,Hands down a GOAT professor. Puts an incredible amount of efforts into preparing for class and helping students. Explains things clearly and concisely so try not to miss lectures. Truly cares about his students. Questions are always welcome and help is available almost whenever. Much-appreciated accommodations were made during covid19.,Aguiar was so lovely. He encourages students to ask questions and tries to link the class to real-world examples. He has a good grasp of how much students can viably absorb in one class and usually doesn't try to overstuff the class.
Classics,298,Cornell University,Fred,,Ahl,454422,23,good,TEACHER,PROFESSOR,4.2,5.0,5.0,,GREAT,"An absolutely amazing professor and person in general. Show up to his class and just listen. Write a few notes but really just absorb the content. Most importantly DO THE READINGS!!!! If you go to class, participate and do the readings this will be the most fun and amazing class. A class with Professor Ahl is an experience no one should pass up!","The most fascinating and engaging lecturer I've had at Cornell, and in my top 2 or three all time (I have a BA elsewhere).  Like another reviewer said, sometimes you just put the pen down and listen. Assigned very creative and effective essay prompts, one of which I now use as a writing teacher. Opinionated for sure. Progressive white British."
Engineering,298,Cornell University,Sharon,,Ahlers,539420,7,good,TEACHER,PROFESSOR,3.9,4.0,4.0,,Very timely and organized just as a lecturer should be. The material is useful and applicable to the real world.,"What are you guys talking about, Miss Ahlers is the easiest grader I've ever encountered at Cornell, she runs a wonderful class, speaks clearly, and the work load is light compared to any engineering class.  Highly recommended.",Tough class
Design & Environmental Sciences,298,Cornell University,Nooshin,,Ahmadi,2693067,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Anthropology,298,Cornell University,Chloe,,Ahmann,2651358,3,good,TEACHER,PROFESSOR,4.3,5.0,5.0,,Very intelligent professor who gives well put together lectures. Make sure to take notes in class because lecture slides aren't posted.,Organized and enthusiastic professor. Very accessible and we had individual meeting sign ups with her for our papers too which shows she cared. I'm not particularly interested in anthropology but the material for Time Travel was pretty interesting.,Had her for a FWS on time travel. The nature of the class meant it was really reading heavy but they were all interesting and nothing felt like busy work. She took the time to get to know her students and clearly cared about our wellbeing. I would reccomend
Mathematics,298,Cornell University,Andrew,,Ahn,2747143,1,good,TEACHER,PROFESSOR,4.0,4.0,4.0,,"The textbook is very useful since the homework assignments come from the textbook. Lectures are useful as well, and the professor gives a 5-minute break during lectures. The course itself is not too difficult and is really straight-forward.",,
Engineering,298,Cornell University,Beth,,Ahner,1006278,3,good,TEACHER,PROFESSOR,4.2,5.0,5.0,,"She is wonderful! Very helpful, and the class is super interesting...one of my favorites! She keeps it interesting and fun, and is a really nice and approachable person.","she tries to be helpful, and she is nice, but Class lectures are boring.  Must go to class because nothing useful in the textbook","This class is also listed as ENGRD 251. She lectures clearly and strives to incorporate relevant current events into assignments and broaden knowledge. For most students, this is the first class where students will be assigned case studies and will need to write up an engineering report. She assigns no textbook, you buy the notes from her for $10."
Organizational Behavior,298,Cornell University,Ifeoma,,Ajunwa,2373067,8,good,TEACHER,PROFESSOR,4.6,5.0,5.0,,"Not only is Professor Ajunwa a great lecturer, she also cares about her students and is easy to connect with beyond class.",Went from live to online. Taken for ILR soph writing requirement. Prof is nice and pretty knowledgable about her topics. She struggles to communicate how to do assignments and when they are due but doesn't grade harshly. You may have to ask her multiple times. Not too much work and it isn't too difficult or tedious. I think participation matters.,"Prof. Ajunwa has been my favorite professor at ILR to date. Shes a knowledge powerhouse and was terrific at teaching labor law in a way that would benefit non-lawyers. During the pandemic she was also very flexible with students, which is a true gem regardless. Dont miss a class with her if you can help it!"
Asian Studies,298,Cornell University,Eriko,,Akamatsu,2790860,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Architecture,298,Cornell University,Esra,,Akcan,2371005,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Near Eastern Studies,298,Cornell University,Bilal,,Al-Omar,2490658,6,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"He's very invested into our learning, and you can definitely tell. Great teacher and also a great person with a sense of humor.",he really cares about his students. it was great having him and i would love to have him again!!,"He's very knowledgeable, always explains cultural contexts and intricacies in the Arabic language. The texts we read as well as his explanations are super interesting. He's really supportive, funny, always challenges us to think deeper about the texts, and gives helpful feedback. I learned a lot from him and have a greater appreciation for Arabic!"
History,298,Cornell University,Jomarie,,Alano,2627222,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,Excellent prof! She is really responsive and helpful. You get plenty of time to do the assignments and essays with ample support,,
Civil Engineering,298,Cornell University,John,,Albertson,2341913,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Engineering,298,Cornell University,David,,Albonesi,1582680,21,good,TEACHER,PROFESSOR,4.1,4.0,4.0,,"Great professor at explanations and presenting the material. However, the class picked up speed very quickly and I began to feel lost very quickly as well. Though if you sit down and go over it, you'd understand it.",Will spend time with you in OH to just chat. Very willing to help students. Class is quite easy to understand.,"Very clear lecture and grading criteria, extremely organized. Prof. Albonesi teaches so well that there is no need to read the textbook. Homeworks are well designed and those are the questions you'd get on the exams. Best ECE professor I've met!"
Architecture,298,Cornell University,Ruben,,Alcolea,2404587,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Physics,298,Cornell University,Jim,,Alexander,1176351,11,good,TEACHER,PROFESSOR,4.6,5.0,5.0,,Really really nice guy who cared more about his students than making the class hard. Psets were reasonable but challenging and the class was really fun. Would take it again if I could.,"Funny and chill lecturer. Lectures are often easily followable. Problem sets were generally difficult, although there is plenty of help available with office hours and ""homework parties"". I thought the textbook was often more useful than the lectures except in the case of special relativity.","The class is hard, but his lectures are good and he tries his best to make things as easy to understand as possible. He seems to genuinely enjoy teaching. Problem sets and exams are hard, but the he and the TAs are helpful during office hours and he is very reasonable about extensions, extra help, etc. You just have to ask for help."
Economics,298,Cornell University,Terence,,Alexander,2461887,9,good,TEACHER,PROFESSOR,4.4,5.0,5.0,,Terry is patient to explain anything during and outside class. Extremely accomodating with deadlines. Group quizzes on every other session on average. Prelims and exams are fair. Practice with HW and previous prelims for the numerical part. True or False questions separate the A students from the herd so make sure to understand the concepts fully.,Terry is an amazing professor for a rather difficult class as I didn't come in with a good micro/macro foundation. He is great at explaining concepts and was also caring during this hectic semester (made prelim 2 optional and bought us all ice cream). Beware of his pop quizzes in class though.,"Terry teaches the class material well. The issue is not with him but rather with the class setup. Tests and homework are assigned randomly, instructions are unclear, grades are stalled, etc. There were not enough TAs for my class so things were very messy. Considering the other options, this Macro class is a solid choice."
Art History,298,Cornell University,Annetta,,Alexandridis,1090802,10,average,TEACHER,PROFESSOR,2.7,4.0,4.0,,She's tough but she's got her own quirky charm and humor. She may not be the best teacher out there but she knows her stuff and are very passionate about fostering students' curiosity in the antiquity period.,"Out of any class I've taken at Cornell, I regret this one the most.  The lectures were incoherent and had little organization.  Very tough grading on open-ended questions.  Encourages b.s. speculation without careful analysis, though she claims evidence is important.  Needs training on scientific method.  Material is useless for 99% of students.","Open ended test questions. Does not help with papers at all, and is an extremely tough grader. Mean and not constructive paper comments"
Languages,298,Cornell University,Ti,,Alkire,414493,18,good,TEACHER,PROFESSOR,4.5,5.0,5.0,,"The professor is amazing and makes the topic easy to understand. He's understanding about deadlines, which is helpful towards the end of the semester. If you ask him for feedback on a topic or on your writing, he will definitely help you.",Ti was an amazing professor. He wants his students to succeed and is a genuinely nice guy. Highly recommend!!,extremely unclear about grading but gives u rly good feedback as long as u seek it. classes are discussion-based and u rly don't need to have read the book to contribute
Animal Science,298,Cornell University,Jeremy,,Allen,2282033,23,good,TEACHER,PROFESSOR,4.9,5.0,5.0,,"Dr. Allen is a really wonderful professor. He is there to help students who are struggling whether it be with the class itself or with problems outside of class. In both the lecture and the lab he creates an environment conducive to learning and also makes an inclusive space, in and outside of the classroom. Expect to put work into the class. ","Dr. Allen is very charismatic and a favorite in the animal science department, evidently. His lectures are engaging and he makes a real effort to foster a comfortable and relaxed classroom environment. His grading is a bit questionable, as he inflates individual assignments but then deflates the class as a whole. Otherwise he is highly recommended.",This man was by far the BEST professor I have ever had. His lighthearted attitude and amazing teaching abilities have allowed me to thrive in his class. He is always SO supportive and such an amazing person to talk to
English,298,Cornell University,Lauren,,Alleyne,521590,4,average,TEACHER,PROFESSOR,3.1,5.0,5.0,,"I took Professor Alleynes Intro to Poetry class followed by Advanced Poetry because I loved being in her class. Passionate about what she teaches and a beautiful writer! Ive never felt more creatively challenged and rewarded. If you have any genuine interest in poetry or creative writing, shes a great choice!",Very uninforming class. Hard to follow. No interest in students at all.,Beware of this one.  She would rather cure than prevent when it comes to the writing aspect of writing seminars.   She also talks very fast and has her own interpretations of the literature.  Definitely not helpful at all for a class that is supposed to improve your writing skills.
Science,298,Cornell University,Rick,,Allmendinger,72067,13,good,TEACHER,PROFESSOR,4.6,4.0,4.0,,"very informative and a great class, that being said you gotta attend class. supposedly an ""easy"" class, but that's only true if you take notes during lectures. i didn't pay attention in class thinking everything would be on blackboard. i got rocked.","Rick is a genuinely nice guy who is passionate about the mundane topic he teaches.  You will learn more about rocks than you will ever want to know, but it is a good class for non science majors who need a science credit.  Tests are pretty difficult and you have to read the book and study lecture notes to do well.  field trip is pretty cool.",Really good professor. very knowledgable and very helpful when you ask a question. he genuinely cares if you understand the info. class was really interesting b/c he relates everything to what is occurring today.
Science,298,Cornell University,Warren,,Allmon,202198,16,good,TEACHER,PROFESSOR,4.3,5.0,5.0,,"Warren's a wonderful lecturer. He delivers his material clearly and with lots of enthusiasm. I can see how he might come off as being hard on students, but honestly, it is well worth going through a trial by fire for the guy. Fun fact: His grad advisor was none other than Stephen Jay Gould !!!","This class was absolutely amazing, definitely my favorite class so far! I can't wait to take paleobiology next year! Just two tests and your discussion grade, but if you pay attention and participate, you're solid.","Warren is a wonderful teacher, have taken EAS 3010 and EAS 4790. Amazing lectures but does like to put you on the spot, so keep up with material. Can rub students up the wrong way at times, being thick skinned helps. He's hilarious though. Best time to approach him is before lectures. Really cares about his students if you show any kind of interest"
Natural Resources,298,Cornell University,Shorna,,Allred,2403811,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
Chemistry,298,Cornell University,James,,Almy,733479,6,average,TEACHER,PROFESSOR,2.9,5.0,5.0,,Terrible!Stay away from him. You will not regret this advice.,"Dr. Almy is a FANTASTIC lecturer - you will never regret taking a CHEM course with him.  Very helpful in office hours, clear  and interesting lectures, and VERY COOL demonstrations.  Yes, these intro CHEM lectures were FUN!",Does cool demonstrations.
Molecular Biosciences,298,Cornell University,Craig,,Altier,2603649,0,zero,TEACHER,PROFESSOR,N/A,,,,,,
History,298,Cornell University,Glenn,,Altschuler,9723,31,good,TEACHER,PROFESSOR,3.5,5.0,5.0,,"Altschuler comes across as a very nice guy in class.  However, talking with him 1 on 1 he appears to be a really self-center SOB.  I think only his arrogant peers respect him.  All the other ones pretty much agree and talk about him behind his back.","He's very funny, interesting, & smart. Highly recommend any class with him.","By far the best professor I have ever had in my four years at Cornell. Hilarious, interesting, and fair. I loved his class even though it had nothing to do with my major."
Sociology,298,Cornell University,Steven,Elias,Alvarado,2576930,1,poor,TEACHER,PROFESSOR,2.0,,,,"Lectures are basically reading over the slides and does not communicate information effectively or in a logical manner. The assigned reading gets very dull and jargony which really makes doing the reading reflections hard. Only stayed in the course for minor requirements, which I think is the reason 90% of the class is there for too.",,
Computer Science,298,Cornell University,Lorenzo,,Alvisi,2234527,25,poor,TEACHER,PROFESSOR,2.3,5.0,5.0,,good professor but class is often disorganized. grading and exams aren't representative of the content covered in lectures.,hws & exams don't accurately measure your understanding of the material. You're better off leaving questions blank than answering them in a way that differs from the solution but shows some understanding of the material bc you won't get any credit either way. Encourages TAs to give advice like 5 year olds which is super unprofessional.,"The course content was really interesting and I loved alvisi as a person/lecturer! The projects however were absolutely not worth the time spent on them, and they quickly devolved into mindless debugging. Their grading system felt super unfair and soured what was otherwise a really great class. Showed absolutely no respect for the student's time."
Animal Science,298,Cornell University,Mike,Van,Amburgh,2127911,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"He really knows his stuff.  The class was a lot of fun to take.  It is highly recommended that you know your way around a dairy cow.  If not, it will be a struggle at the beginning.   Everything in his class is conceptual, so go to lecture.  There is no good way to study for the few tests other than to now the concepts.  Memorization not required.",,
Languages,298,Cornell University,Silvia,,Amigo-Silvestre,428168,25,good,TEACHER,PROFESSOR,3.7,5.0,5.0,,"Silvia is a wonderful professor and an expert in the Spanish language. The course is not easy at all, but Silvia's job is to improve your Spanish, and that is exactly what she does through constant conversation and comprehensive feedback. Silvia makes herself extremely available for outside help, and it is very clear that she wants you to do well.","Literally the worst part of Cornell by far. Spanish has actually ruined my whole semester and, in running the Intermediate Spanish program, I can see that she clearly doesn't actually care about teaching. Tbh she seems more like the type of teacher that prides herself in making her class hard even if the material doesn't help us learn anything.","There are rarely instances where she is actually teaching spanish because the entire class is done in small groups. She cares more about if you do exactly what she says than if you are learning the language. It feels like there is an exam every day. Curriculum of SPAN 2090 is merciless, and she just makes it worse. Try to take it with someone else!"
Chemistry,298,Cornell University,Nandini,,Ananth,1997355,9,good,TEACHER,PROFESSOR,4.4,5.0,5.0,,"She's an amazing lecturer! The class was difficult but I learned so much! The problem sets were long (2-8 hours each week) and the exams were fair. The problem sets were graded very harshly and were worth 40% of the overall grade, so spending a lot of time on them was definitely worth it. I honestly wasn't expecting to like PChem so much!",I LOVE NANDINI,"Professor Ananth is the perhaps best chemistry professor Ive had at this school. Her lectures were so much fun, she makes the material so interesting, and she really stimulates interest and makes class and learning the best time. I absolutely would take a class with her again, and I would recommend her as a lecturer to any other students."
Design,298,Cornell University,Sutee,,Anantsuksomsri,1713801,1,good,TEACHER,PROFESSOR,4.5,4.5,4.5,,"Sutee was the man, very flexible about when we could turn in homework and always was available for help.  He made ArcGis very manageable.",,
Engineering,298,Cornell University,William,,Anderson,970196,6,poor,TEACHER,PROFESSOR,2.0,5.0,5.0,,not helpful at all,"Anderson is a great professor. If u go to class & pay attention, & know that u will have to put in a lot of effort, you will do well. u just cant go in thinking that a course with ""finance"" in the title is easy. This course is really applied statistics & is very applicable to ""the real world"". Go to class & office hours regularly & he will help u.","Hands down the worst professor I have ever had. Taking the course is comparable to taking 3 separate courses. What is taught in class, the hwk and the prelims are completely different. The prelim scores should speak for themselves. Mean for the two prelims was 45 and 54/100 with SD of 20+ both times. You have very little control over your grade"
Engineering,298,Cornell University,C. Lindsay,,Anderson,1066240,13,good,TEACHER,PROFESSOR,4.7,5.0,5.0,,"Great professor, passionate lectures, very project heavy and quizzes directly came from lectures","While her lectures are usually very clear, some of her in-class examples are not totally helpful. Also, there are sometimes mistakes in assignments which lead people to a number of drastically different codes for the same problem.  Otherwise, a good professor.",Best teacher in the department.
Government,298,Cornell University,Christopher,,Anderson,1489692,3,average,TEACHER,PROFESSOR,3.2,5.0,5.0,,"Very uninspiring lecturer with unengaging TAs. Gave exams that were way too broad and overall, did not treat the class as the introductory course that it was.","Not a very good lecturer, really hard tests that cover way too much material.",Nice prof.
Hotel  Restaurant Management,298,Cornell University,Christopher,,Anderson,1969581,1,good,TEACHER,PROFESSOR,4.5,4.5,4.5,,Prof. Anderson did a great job of giving students an overview of many modeling tools used in industry. He's very down-to-earth (and surprisingly funny!) and goes above and beyond to help students outside of class. Assignmentsfinal project are not st.-forward but really force you to learn & apply the material. Highly recommend this professor!,,
Human Ecology,298,Cornell University,Adam,K.,Anderson,2039670,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,Great Professor... not necessarily easy but not hard either. If you put in the work you will do well. He also cares a lot about his students and is understanding.,,
Art History,298,Cornell University,Benjamin,,Anderson,2537320,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"Prof is professional, knowledgeable and logical. He assigns a lot of reading, but each passage is carefully chosen and therefore meaningful. The lectures are clear and, if you actually follow him attentively, you will find your questions predicted and answered by him. The essays are fun to write.",,
Chemistry,298,Cornell University,Nozomi,,Ando,2670259,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,"Took the class in 2018, loved every minute of it, even though it was at 8:40 am. The class was majority derivations of physics equations applied to chemistry. Be prepared to use office hours and lots of math!",,
Languages,298,Cornell University,Giulia,,Andreoni,2621198,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,,Prof Andreoni is so sweet and an incredible Italian teacher. Literally one of the nicest people ever and makes an effort to have everyone participate each class. If you get something wrong she is so sweet about it and never makes you feel uncomfortable or embarrassed. Textbook HW is also super quick. 11/10 would take class with her again!,,
Sociology,298,Cornell University,Eleanor,,Andrews,2667971,2,average,TEACHER,PROFESSOR,3.0,5.0,5.0,,"If you do everything you're required to, you get a B. You have to go out of your way to get an A. This is supposed to be a class to help with your writing, but much of the assignments are very complex with instructions that are all over the place. Honestly, there are better FWS's to help with your writing.","She is easily my favorite professor so far. I took her for my FWS, and the transition into Cornell was so much easier with her class.",
