tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,review_quality_rating,review_difficulty_rating,review_class,review
Human Ecology,298,Cornell University,Jennifer,,Agans,2349331,8,poor,TEACHER,PROFESSOR,1.2,,,HD1170,"She made it really hard to enjoy the class, since she either moved through the material too quickly, or brought in guest lecturers who didn't know what they were doing either. That being said, this class is not difficult if you do the readings in the textbook and look through and memorize notes before exams."
Computer Science,298,Cornell University,Rachit,,Agarwal,2209130,23,average,TEACHER,PROFESSOR,3.2,4.0,4.0,CS4410,This guy tries very hard to look cool but ends up just being a difficult jerk. Won't recommend
Languages,298,Cornell University,Muna,,Aghawani,996579,3,good,TEACHER,PROFESSOR,4.8,5.0,5.0,MDE231,Muna Aghawani is an awesome teacher with a beautiful soul.
Biology,298,Cornell University,Anurag,,Agrawal,1192249,10,good,TEACHER,PROFESSOR,4.8,5.0,5.0,BIOEE1610,"This class was easy to do well in, but hard to get an A if that's what you're shooting for. The prelims are a bit knit-picky and the online textbook can be a bit boring but I would otherwise totally recommend this Intro. to Bio course for non-majors. The lectures were the most dynamic ones I've seen considering the size of the class."
Languages,298,Cornell University,David,,Agruss,813551,4,poor,TEACHER,PROFESSOR,1.0,,,ENG103,"Prof Agrus is hands down the worst teacher I've ever had. I was a senior taking a lower level class and he tried to make the class as difficult as possible. He believes he is above everybody he doesn't even teach his own class he leaves that up to is students.He is so vague on what he wants, but then grades students as if they should read his mind"
Mathematics,298,Cornell University,Marcelo ,,Aguiar,1987323,7,good,TEACHER,PROFESSOR,5.0,5.0,5.0,MATH3360,He is amazing!
Classics,298,Cornell University,Fred,,Ahl,454422,23,good,TEACHER,PROFESSOR,4.2,5.0,5.0,CLASS3645,GREAT
Engineering,298,Cornell University,Sharon,,Ahlers,539420,7,good,TEACHER,PROFESSOR,3.9,4.0,4.0,ENGR3350,Very timely and organized just as a lecturer should be. The material is useful and applicable to the real world.
Design & Environmental Sciences,298,Cornell University,Nooshin,,Ahmadi,2693067,0,zero,TEACHER,PROFESSOR,N/A,,,,
Anthropology,298,Cornell University,Chloe,,Ahmann,2651358,3,good,TEACHER,PROFESSOR,4.3,5.0,5.0,ANTHR1400,Very intelligent professor who gives well put together lectures. Make sure to take notes in class because lecture slides aren't posted.
Mathematics,298,Cornell University,Andrew,,Ahn,2747143,1,good,TEACHER,PROFESSOR,4.0,4.0,4.0,MATH1710,"The textbook is very useful since the homework assignments come from the textbook. Lectures are useful as well, and the professor gives a 5-minute break during lectures. The course itself is not too difficult and is really straight-forward."
Engineering,298,Cornell University,Beth,,Ahner,1006278,3,good,TEACHER,PROFESSOR,4.2,5.0,5.0,BEE2510,"She is wonderful! Very helpful, and the class is super interesting...one of my favorites! She keeps it interesting and fun, and is a really nice and approachable person."
Organizational Behavior,298,Cornell University,Ifeoma,,Ajunwa,2373067,8,good,TEACHER,PROFESSOR,4.6,5.0,5.0,ILROB6230,"Not only is Professor Ajunwa a great lecturer, she also cares about her students and is easy to connect with beyond class."
Architecture,298,Cornell University,Esra,,Akcan,2371005,0,zero,TEACHER,PROFESSOR,N/A,,,,
Near Eastern Studies,298,Cornell University,Bilal,,Al-Omar,2490658,6,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ARAB1202,"He's very invested into our learning, and you can definitely tell. Great teacher and also a great person with a sense of humor."
History,298,Cornell University,Jomarie,,Alano,2627222,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,HIST1335,Excellent prof! She is really responsive and helpful. You get plenty of time to do the assignments and essays with ample support
Civil Engineering,298,Cornell University,John,,Albertson,2341913,0,zero,TEACHER,PROFESSOR,N/A,,,,
Engineering,298,Cornell University,David,,Albonesi,1582680,21,good,TEACHER,PROFESSOR,4.1,4.0,4.0,ECE1210,"Great professor at explanations and presenting the material. However, the class picked up speed very quickly and I began to feel lost very quickly as well. Though if you sit down and go over it, you'd understand it."
Architecture,298,Cornell University,Ruben,,Alcolea,2404587,0,zero,TEACHER,PROFESSOR,N/A,,,,
Physics,298,Cornell University,Jim,,Alexander,1176351,11,good,TEACHER,PROFESSOR,4.6,5.0,5.0,PHYS1116,Really really nice guy who cared more about his students than making the class hard. Psets were reasonable but challenging and the class was really fun. Would take it again if I could.
Economics,298,Cornell University,Terence,,Alexander,2461887,9,good,TEACHER,PROFESSOR,4.4,5.0,5.0,AEM2600,Terry is patient to explain anything during and outside class. Extremely accomodating with deadlines. Group quizzes on every other session on average. Prelims and exams are fair. Practice with HW and previous prelims for the numerical part. True or False questions separate the A students from the herd so make sure to understand the concepts fully.
Art History,298,Cornell University,Annetta,,Alexandridis,1090802,10,average,TEACHER,PROFESSOR,2.7,4.0,4.0,ANTIQUITY,She's tough but she's got her own quirky charm and humor. She may not be the best teacher out there but she knows her stuff and are very passionate about fostering students' curiosity in the antiquity period.
Languages,298,Cornell University,Ti,,Alkire,414493,18,good,TEACHER,PROFESSOR,4.5,5.0,5.0,ROMS1114,"The professor is amazing and makes the topic easy to understand. He's understanding about deadlines, which is helpful towards the end of the semester. If you ask him for feedback on a topic or on your writing, he will definitely help you."
Animal Science,298,Cornell University,Jeremy,,Allen,2282033,23,good,TEACHER,PROFESSOR,4.9,4.0,4.0,BIOAP1100,"Dr. Allen is very charismatic and a favorite in the animal science department, evidently. His lectures are engaging and he makes a real effort to foster a comfortable and relaxed classroom environment. His grading is a bit questionable, as he inflates individual assignments but then deflates the class as a whole. Otherwise he is highly recommended."
English,298,Cornell University,Lauren,,Alleyne,521590,4,average,TEACHER,PROFESSOR,3.1,5.0,5.0,ENG494,"I took Professor Alleynes Intro to Poetry class followed by Advanced Poetry because I loved being in her class. Passionate about what she teaches and a beautiful writer! Ive never felt more creatively challenged and rewarded. If you have any genuine interest in poetry or creative writing, shes a great choice!"
Science,298,Cornell University,Rick,,Allmendinger,72067,13,good,TEACHER,PROFESSOR,4.6,4.0,4.0,EAS1101,"very informative and a great class, that being said you gotta attend class. supposedly an ""easy"" class, but that's only true if you take notes during lectures. i didn't pay attention in class thinking everything would be on blackboard. i got rocked."
Science,298,Cornell University,Warren,,Allmon,202198,16,good,TEACHER,PROFESSOR,4.3,5.0,5.0,BIOSM1780,"Warren's a wonderful lecturer. He delivers his material clearly and with lots of enthusiasm. I can see how he might come off as being hard on students, but honestly, it is well worth going through a trial by fire for the guy. Fun fact: His grad advisor was none other than Stephen Jay Gould !!!"
Natural Resources,298,Cornell University,Shorna,,Allred,2403811,0,zero,TEACHER,PROFESSOR,N/A,,,,
Chemistry,298,Cornell University,James,,Almy,733479,6,average,TEACHER,PROFESSOR,2.9,5.0,5.0,CHEM208,Terrible!Stay away from him. You will not regret this advice.
Molecular Biosciences,298,Cornell University,Craig,,Altier,2603649,0,zero,TEACHER,PROFESSOR,N/A,,,,
History,298,Cornell University,Glenn,,Altschuler,9723,31,good,TEACHER,PROFESSOR,3.5,5.0,5.0,AMST201,"Altschuler comes across as a very nice guy in class.  However, talking with him 1 on 1 he appears to be a really self-center SOB.  I think only his arrogant peers respect him.  All the other ones pretty much agree and talk about him behind his back."
Sociology,298,Cornell University,Steven,Elias,Alvarado,2576930,1,poor,TEACHER,PROFESSOR,2.0,,,PAM2208,"Lectures are basically reading over the slides and does not communicate information effectively or in a logical manner. The assigned reading gets very dull and jargony which really makes doing the reading reflections hard. Only stayed in the course for minor requirements, which I think is the reason 90% of the class is there for too."
Computer Science,298,Cornell University,Lorenzo,,Alvisi,2234527,25,poor,TEACHER,PROFESSOR,2.3,5.0,5.0,CS4410,good professor but class is often disorganized. grading and exams aren't representative of the content covered in lectures.
Animal Science,298,Cornell University,Mike,Van,Amburgh,2127911,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ANSC2500,"He really knows his stuff.  The class was a lot of fun to take.  It is highly recommended that you know your way around a dairy cow.  If not, it will be a struggle at the beginning.   Everything in his class is conceptual, so go to lecture.  There is no good way to study for the few tests other than to now the concepts.  Memorization not required."
Languages,298,Cornell University,Silvia,,Amigo-Silvestre,428168,25,good,TEACHER,PROFESSOR,3.7,5.0,5.0,SPAN2090,"Silvia is a wonderful professor and an expert in the Spanish language. The course is not easy at all, but Silvia's job is to improve your Spanish, and that is exactly what she does through constant conversation and comprehensive feedback. Silvia makes herself extremely available for outside help, and it is very clear that she wants you to do well."
Chemistry,298,Cornell University,Nandini,,Ananth,1997355,9,good,TEACHER,PROFESSOR,4.4,5.0,5.0,CHEM3890,"She's an amazing lecturer! The class was difficult but I learned so much! The problem sets were long (2-8 hours each week) and the exams were fair. The problem sets were graded very harshly and were worth 40% of the overall grade, so spending a lot of time on them was definitely worth it. I honestly wasn't expecting to like PChem so much!"
Design,298,Cornell University,Sutee,,Anantsuksomsri,1713801,1,good,TEACHER,PROFESSOR,4.5,4.5,4.5,CRP4080,"Sutee was the man, very flexible about when we could turn in homework and always was available for help.  He made ArcGis very manageable."
Engineering,298,Cornell University,William,,Anderson,970196,6,poor,TEACHER,PROFESSOR,2.0,5.0,5.0,ORIE543,not helpful at all
Engineering,298,Cornell University,C. Lindsay,,Anderson,1066240,13,good,TEACHER,PROFESSOR,4.7,5.0,5.0,BEE4750,"Great professor, passionate lectures, very project heavy and quizzes directly came from lectures"
Government,298,Cornell University,Christopher,,Anderson,1489692,3,average,TEACHER,PROFESSOR,3.2,5.0,5.0,GOVT1313,"Very uninspiring lecturer with unengaging TAs. Gave exams that were way too broad and overall, did not treat the class as the introductory course that it was."
Hotel  Restaurant Management,298,Cornell University,Christopher,,Anderson,1969581,1,good,TEACHER,PROFESSOR,4.5,4.5,4.5,HADM6010,Prof. Anderson did a great job of giving students an overview of many modeling tools used in industry. He's very down-to-earth (and surprisingly funny!) and goes above and beyond to help students outside of class. Assignmentsfinal project are not st.-forward but really force you to learn & apply the material. Highly recommend this professor!
Human Ecology,298,Cornell University,Adam,K.,Anderson,2039670,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,HD3660,Great Professor... not necessarily easy but not hard either. If you put in the work you will do well. He also cares a lot about his students and is understanding.
Art History,298,Cornell University,Benjamin,,Anderson,2537320,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ARTH3255,"Prof is professional, knowledgeable and logical. He assigns a lot of reading, but each passage is carefully chosen and therefore meaningful. The lectures are clear and, if you actually follow him attentively, you will find your questions predicted and answered by him. The essays are fun to write."
Chemistry,298,Cornell University,Nozomi,,Ando,2670259,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,CHEM2870,"Took the class in 2018, loved every minute of it, even though it was at 8:40 am. The class was majority derivations of physics equations applied to chemistry. Be prepared to use office hours and lots of math!"
Languages,298,Cornell University,Giulia,,Andreoni,2621198,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ITAL1201,Prof Andreoni is so sweet and an incredible Italian teacher. Literally one of the nicest people ever and makes an effort to have everyone participate each class. If you get something wrong she is so sweet about it and never makes you feel uncomfortable or embarrassed. Textbook HW is also super quick. 11/10 would take class with her again!
Sociology,298,Cornell University,Eleanor,,Andrews,2667971,2,average,TEACHER,PROFESSOR,3.0,5.0,5.0,WRIT1380,"If you do everything you're required to, you get a B. You have to go out of your way to get an A. This is supposed to be a class to help with your writing, but much of the assignments are very complex with instructions that are all over the place. Honestly, there are better FWS's to help with your writing."
Earth Science,298,Cornell University,Chris,,Andronicos,1570051,4,good,TEACHER,PROFESSOR,3.7,5.0,5.0,EAPS243,"This course is lecture-heavy, but he is very willing to help you out. Be ready to memorize a whole bunch of minerals."
English,298,Cornell University,Kristen,,Angierski,2201815,6,good,TEACHER,PROFESSOR,4.5,5.0,5.0,ENGL1158,Very interesting prof if you are among those who wish to read fiction about climate change.
Architecture,298,Cornell University,Sarosh,,Anklesaria,2510560,0,zero,TEACHER,PROFESSOR,N/A,,,,
German,298,Cornell University,Horakova,,Anna,1699431,2,good,TEACHER,PROFESSOR,5.0,5.0,5.0,GERST1170,"Fantastic teacher. Fostered interest about the subject, provided timely and extensive feedback, taught a lot. Liberal towards different perspectives, and compassionate at times of trouble (midterms oh no). Hit the spot with reading assignments as well! Marx, Nietzsche, Freud is definitely a class I'd take again."
Biomedical Engineering,298,Cornell University,James,,Antaki,2583076,1,poor,TEACHER,PROFESSOR,2.0,,,BME4080,"He is a super nice guy, but the work we did in this class was time consuming and useless. Instead of actually designing for senior design we completed a bunch of awful homeworks. I dreaded this class every week. If the type of work he gave us is what being an engineer is like, I think I may get an MBA instead."
Engineering,298,Cornell University,Brad,,Anton,1133949,6,good,TEACHER,PROFESSOR,4.0,5.0,5.0,CHEME3320,"hes rude and arrogant, youll learn, but youll be dealing with a condescending guy with no tact or ability to see outside his own ego"
Engineering,298,Cornell University,Tatiyana,,Apanasovich,520184,11,average,TEACHER,PROFESSOR,3.2,4.0,4.0,STAT4197,The moment the course moved into more conceptually difficult territory Apanasovich pretty much became incoherent. But she was still really helpful and often dedicated entire classes to explaining concepts about which students expressed confusion. It also doesn't hurt that she's extremely attractive...
History,298,Cornell University,Ronald,,Appelgate,1171082,1,good,TEACHER,PROFESSOR,4.0,4.0,4.0,ILRLR1100,"pretty fair grader, people got through the class with B+/A- without doing the readings. really nice man.  tries to crack jokes.  very accessable. says the words ""essentially"" ""striking"" and ""emphasize"" a lot.  a really great teacher"
Music,298,Cornell University,Catherine,,Appert,1891360,4,average,TEACHER,PROFESSOR,2.9,5.0,5.0,MUSIC1330,She was incredibly disorganized and difficult to understand.
Business,298,Cornell University,Ron,,Applegate,267955,24,good,TEACHER,PROFESSOR,4.3,5.0,5.0,ILRLR3040,"I took 3040 with Prof Applegate, and it was a really interesting and well-constructed course. Readings were amazing, Prof Applegate is really smart and compassionate. Only lame thing was the other students-almost all of whom clearly didn't read or care much."
Veterinary Sciences,298,Cornell University,Judith,,Appleton,1223007,6,average,TEACHER,PROFESSOR,3.2,4.5,4.5,BIO3150,"this woman is not a very good teacher, all of her lectures are straight out of the book. will sometimes also test random bits of information too."
Engineering,298,Cornell University,Alyssa,,Apsel,181677,14,average,TEACHER,PROFESSOR,3.1,4.0,4.0,ECE4530,"Nice professor. She is really knowledgeable. She is helpful during office hours, but she asks you to think hard instead of giving you the answers straight out. Exams were tough, material is extremely tough. But a great class to take if you are interested in analog IC design."
Biology,298,Cornell University,Chip,,Aquadro,534212,9,good,TEACHER,PROFESSOR,4.2,4.0,4.0,BIOMG1290,fun class and kind professor.
Engineering,298,Cornell University,Wilkins,,Aquino,1178053,2,good,TEACHER,PROFESSOR,3.5,4.5,4.5,ENGRI1160,"Had him for Into to Eng - Modern Stuctures. Was never clear on how much we already knew, was usually either teaching things too easy or else way above our head. Always seemed happy to be teaching and willing to help, but most people went to the TA for help before him. Very introductory course, not extremely enlightening. Final project was fun."
Anthropology,298,Cornell University,Adam,,Arcadi,454416,15,good,TEACHER,PROFESSOR,4.5,5.0,5.0,ANTHR2310,"This class was really interesting and Prof Arcadi structures his lectures very well. The tests weren't difficult (24 hours, open note) but it definitely required knowing the lecture material. Prof Arcadi was super nice and loved the subject."
German,298,Cornell University,Jason,,Archbold,2660726,1,poor,TEACHER,PROFESSOR,1.0,,,GERST1210,"This teacher is extremely hypocritical and probably the worst in the entire department. I didn't learn any German in this class. He traveled several times throughout the semester even though he expected us to attend every single class, which ironically lead to substitute teachers, all of which I preferred to him. Don't take this class from him."
Engineering,298,Cornell University,Lynden,,Archer,1005139,10,average,TEACHER,PROFESSOR,3.5,4.0,4.0,CHEME3230,"Tough Course, but Awesome Professor. Archer really knows his fluids and is kind. I do not like Denn's Book. Let me repeat, I do not Like Denn's Book. I hope this causes Archer to choose another text."
Physics,298,Cornell University,Tomas,,Arias,272878,51,good,TEACHER,PROFESSOR,4.3,5.0,5.0,PHYS3316,"Prof. Arias is the best lecturer I have ever seen. The class was at 9 AM, but each day I woke up excited to climb the slope and watch his lecture, being sad when it ended. The homeworks can long, but extremely informative and rewarding to do (arias makes his own questions). Exams are fair. Arias is a rigorous (mathematically) source of knowledge."
Languages,298,Cornell University,Diego,,Arias-Fuentes,2040113,8,good,TEACHER,PROFESSOR,5.0,5.0,5.0,SPAN2070,"I came into this class hating Spanish, and I now love Spanish, so I guess that goes to show what a great professor Diego is. He will make you do the work to understand Spanish, but I think at the end of the day he wants everyone to do well in his class and go on to actually use their Spanish. Cool guy with a very cool background"
Science,298,Cornell University,William,,Arion,324101,2,good,TEACHER,PROFESSOR,4.2,5.0,5.0,VMED725,Great!
Biology,298,Cornell University,Ludmilla,,Aristilde,2261633,4,average,TEACHER,PROFESSOR,3.0,4.0,4.0,ENGRD2510,She was available to meet one-on-one help with difficult topics. Working on the case studies in group were very involved but also the most fun part of this course. I recommend not skipping lectures to keep track of what is going. She also gave several hints during lectures about exam questions.
Music,298,Cornell University,Jim,,Armstrong,315143,6,good,TEACHER,PROFESSOR,4.2,4.0,4.0,MUSIC120,"Great teacher, Cornell's loss"
Psychology,298,Cornell University,Kacie,,Armstrong,2303536,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,PSYCH1101,One of the best educators I have ever had. She's very accommodating and makes psychology the most interesting subject you'll ever learn.
Agriculture,298,Cornell University,Kathy ,,Arnink,1952163,7,average,TEACHER,PROFESSOR,3.4,4.0,4.0,VIEN1104,"She knows what she's talking about when it comes to wine, and does a really good wine tasting evaluation. The lectures tended to be a little dry in terms of interaction and engagement, and it's hard to get her attention to ask a question."
Agriculture,298,Cornell University,Kathleen,,Arnink,2222049,2,good,TEACHER,PROFESSOR,4.5,5.0,5.0,VIEN1104,"Professor Arnink was great! Wines and Vines is a great class, and Arnink really cares about her students and teaching them about wine."
Computer Science,298,Cornell University,Yoav,,Artzi,2698257,1,poor,TEACHER,PROFESSOR,1.0,,,CS5740,"Alert!!!!!workload is super heavy, each homework is like a research project that requires extensive self-learning and dependent on how well your random-assigned teammates perform. Not really much of the HW is covered in the lecture material, you basically need to do all the research by yourself"
Fine Arts,298,Cornell University,Michael,,Ashkin,1486736,2,good,TEACHER,PROFESSOR,4.8,5.0,5.0,ART1401,"Very encouraging professor, one of the best teachers in the department."
English,298,Cornell University,Anum,,Asi,2653680,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,FWS1170,I love coming to class. Anum is so kind. You can tell she puts time into reading and grading your assignments and it makes you want to be better at writing. Id take anything she taught!
Architecture,298,Cornell University,Esra,,Askan,2364127,0,zero,TEACHER,PROFESSOR,N/A,,,,
African Studies,298,Cornell University,N'Drie,,Assie-Lumumba,2654523,1,average,TEACHER,PROFESSOR,3.0,,,AMST1500,"Taken online. The lectures are honestly difficult to understand if you are not somewhat versed in the topic area already. However, there isn't any work except for the papers which aren't easy but graded very leniently and the average grade in the class was an A. Lots of discussion in class but you don't have to speak if you don't want to."
Engineering,298,Cornell University,Dieter,,Ast,181331,56,poor,TEACHER,PROFESSOR,1.6,4.0,4.0,2008535,Time for him to retire
Architecture,298,Cornell University,Tulay,,Atak,1516707,2,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ARCH5402,It's a great class.
Philosophy,298,Cornell University,Emad,,Atiq,2518692,0,zero,TEACHER,PROFESSOR,N/A,,,,
English,298,Cornell University,Kevin,,Attell,1889763,4,good,TEACHER,PROFESSOR,3.7,4.0,4.0,ENGL200,"The lectures were minimally helpful, and Attell is at best a merely average reader of poetry. The main problem was his lack of enthusiasm. I was very excited about the course, but Attell did not make the experience worthwhile. The readings are hard (DON'T BUY the packet; ALL of it is free through the library or online) but the grading was very easy"
Earth Science,298,Cornell University,Toby,,Ault,2542024,6,good,TEACHER,PROFESSOR,4.2,5.0,5.0,EAS1101,"Professor Ault is endlessly kind and always striving to make lectures engaging, accessible, and easy to comprehend."
Engineering,298,Cornell University,Tom,,Avedisian,873434,10,good,TEACHER,PROFESSOR,3.7,5.0,5.0,MAE3240,Prof. Avedisian is really nice. Do your part; you get good grade.
Political Science,298,Cornell University,Rosemary,,Avery,204717,53,good,TEACHER,PROFESSOR,3.7,4.0,4.0,PAM2300,You can basically learn everything in this class online as the content has barely changed since she has started teaching. The assignments and exams are unnecessarily difficult and overall the class is not engaging. You have to take it to be in PAM which makes things even more stressful.
Electronic Engineering Technol,298,Cornell University,Salman,,Avestimeh,1884518,4,poor,TEACHER,PROFESSOR,2.0,5.0,5.0,EE503,"I love his lecture because he try to explain why you should learn concepts, properties, and theorems in the graduate students' point of view. Especially, he tried to make connection between probability and your research area, how to adopt what you learned from this course for your research. I got A, but I heard that he had tough grading policy."
Labor amp Employment Relations,298,Cornell University,Ariel,,Avgar,2313965,4,good,TEACHER,PROFESSOR,5.0,5.0,5.0,ILRLR2050,"Cares about his students, but the class was often very boring."
Arts & Sciences,298,Cornell University,Lisa,,Avron,2612289,0,zero,TEACHER,PROFESSOR,N/A,,,,
Chemistry,298,Cornell University,Yimon,,Aye,2367030,6,poor,TEACHER,PROFESSOR,1.8,5.0,5.0,CHEM3580,"Aye was the most amazing and inspirational professor I ever had. Her material is very hard - I struggled immensely with her material, but at the end of it all, I felt rewarded with a wealth of knowledge that has forever impacted the way I understand chemistry and biology. I felt that I had learned, rather than studied, organic chemistry."
Government,298,Cornell University,Phillip,,Ayoub,1775244,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,GOVT1101,"6 Papers, three of which can be on any subject matter relating to social activism. Last three revolve around a research assignment that he is helpful in coming up with. Always very clear on his expectations and is a relatively easy grader. Too much reading but it is easy to get around it."
Management,298,Cornell University,Iwan,,Azis,987883,10,average,TEACHER,PROFESSOR,3.2,5.0,5.0,CRP6330,"Following his lecture is like watching thriller movie. You think you know something, but it turns out that you don't. He teaches us a theory (or model) and its strengths very clearly, and in another session, he will open up the theory's weaknesses, and ask us to be wise in using it. A highly recommended course."
Theatre Arts,298,Cornell University,Christine,,Bacareza Balance,2557488,1,good,TEACHER,PROFESSOR,5.0,5.0,5.0,AAS1101,"Professor Balance creates a class environment for open discussion and participation. Even though the class was only lectures of 40 people, she treated them like discussions. While she did cold call at times, she is a really nice person and is willing to discuss anything and help her students in any way she can."
Social Science,298,Cornell University,Sam,,Bacharach,120016,3,good,TEACHER,PROFESSOR,4.3,5.0,5.0,ILROB170,"Here's very charasmatic, so it's hard to tell sometimes that he just goes on and on about nothing.  He'll keep you interested, but at the end of the day, you've learned about an average amount (which still isn't bad).  ""Get them on Your Side"" is a book designed for incompetent workers with loose pockets - I'm insulted he assigned it to us."
English,298,Cornell University,Ewa,,Bachminska,2702779,2,good,TEACHER,PROFESSOR,3.5,5.0,5.0,POLSH1131,"In the Polish class, I liked the best the trip to Cornell museum. I also really enjoyed the movie about Walesa. Ewa even brought Polish sweets for us and we learned how to order food in Polish at a restaurant. I recommend taking her class. "
Comparative Literature,298,Cornell University,Andrea,,Bachner,2437845,3,average,TEACHER,PROFESSOR,3.3,4.0,4.0,COML2030,"I took COML 2030 with Andrea, she was a wonderful professor, and is really enthusiastic about what she teaches. She really listens to her students and is lenient with any sort of deadline. Although I cannot really say she gives amazing grades, I feel like she is a solid professor that can help you out when you need any help."
